===============,,,===============,===============,===============,===============,===============,===============,===============,===============,
DATE/TIME,LIGHTING,,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,
,,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,
===============,,,===============,===============,===============,===============,===============,===============,===============,===============,
2/5/24 8:10,,,3148,2362,0.75,0,0,1109,580,305,
2/5/24 8:27,,,3972,3284,0.827,0,0,3025,1553,818,
2/5/24 8:44,,,3628,2964,0.817,0,0,2891,1366,813,
2/5/24 9:00,,,3637,2854,0.785,0.06,0,2531,1289,754,
2/5/24 9:17,,,3553,2866,0.807,0,0,2114,1050,998,
2/5/24 9:34,,,3303,2715,0.822,0.06,0,1372,538,239,
2/5/24 9:51,,,3491,2854,0.817,0,0,1946,801,1452,
2/5/24 10:08,,,3334,2837,0.851,0.02,0.022,1616,701,469,
2/5/24 10:25,,,3020,2467,0.817,0,0.066,1188,352,148,
2/5/24 10:42,,,3163,2487,0.786,0.05,0,710,208,241,
2/5/24 10:59,,,3669,3095,0.843,0,0.044,2326,1117,1639,
2/5/24 11:15,,,2903,2441,0.841,0.06,0.088,1138,339,218,
2/5/24 11:32,,,2290,1843,0.805,0,0,628,105,7,
2/5/24 11:49,,,2932,2488,0.849,0.08,0.022,1233,376,290,
2/5/24 12:06,,,2709,2490,0.919,0,0.066,351,59,54,
2/5/24 12:23,,,2237,1997,0.893,0,0,118,10,0,
2/5/24 12:40,,,2540,2279,0.897,0.04,0,428,127,47,
2/5/24 12:57,,,2214,2086,0.942,0.04,0.088,577,163,163,
2/5/24 13:14,,,2469,2210,0.895,0,0,7,0,0,
2/5/24 13:30,,,2042,1777,0.87,0,0,214,27,0,
2/5/24 13:47,,,2926,2610,0.892,0.09,0,351,48,66,
2/5/24 14:04,,,3257,3047,0.936,0,0.088,1568,534,748,
2/5/24 14:21,,,2370,1987,0.838,0,0,1580,281,213,
2/5/24 14:38,,,2881,2397,0.832,0.07,0,1003,98,46,
2/5/24 14:55,,,2541,2360,0.929,0,0.066,1117,334,466,
2/5/24 15:12,OFF1,1,2548,2185,0.857,0,0,150,29,3,
2/5/24 15:29,OFF1,2,3283,3067,0.934,0.1,0.022,1376,472,607,
2/5/24 15:45,OFF1,3,2601,2442,0.939,0.08,0.022,131,30,10,
2/5/24 16:02,OFF1,4,3946,3608,0.914,0,0.088,1203,487,874,
2/5/24 16:19,OFF1,5,3132,2819,0.9,0,0.044,1251,433,624,
2/5/24 16:36,OFF1,6,2726,2538,0.931,0,0.066,1032,323,700,
2/5/24 16:53,OFF1,7,3585,3396,0.947,0.07,0.132,1467,583,876,
2/5/24 17:10,OFF1,8,3472,3373,0.972,0.16,0.044,1455,384,357,
2/5/24 17:27,OFF1,9,3268,3111,0.952,0.15,0.088,815,160,150,
