===============,,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/5/24 7:59,,,1157,776,0.67,0,0,164,94,89,,,,,,,,
2/5/24 8:15,,,4669,3644,0.781,0,0,2445,1070,844,,,,,,,,
2/5/24 8:32,,,4075,3230,0.793,0.03,0,2436,1143,1048,,,,,,,,
2/5/24 8:49,,,3899,3121,0.8,0,0,2222,1080,1280,,,,,,,,
2/5/24 9:06,,,3765,2914,0.774,0,0,1852,823,1455,,,,,,,,
2/5/24 9:23,,,3553,2710,0.763,0.01,0,1994,844,918,,,,,,,,
2/5/24 9:40,,,3760,3093,0.822,0,0,1924,825,1179,,,,,,,,
2/5/24 9:57,,,3391,2933,0.865,0.08,0,1227,441,739,,,,,,,,
2/5/24 10:14,,,3391,2977,0.878,0,0,1035,403,495,,,,,,,,
2/5/24 10:30,,,3206,2785,0.869,0,0,1152,482,292,,,,,,,,
2/5/24 10:47,,,2400,2052,0.855,0,0.022,468,133,82,,,,,,,,
2/5/24 11:04,,,3393,2887,0.851,0.05,0,821,319,342,,,,,,,,
2/5/24 11:21,,,2439,2109,0.864,0,0,501,150,137,,,,,,,,
2/5/24 11:38,,,3218,2724,0.847,0.01,0,646,262,237,,,,,,,,
2/5/24 11:55,,,2421,2208,0.912,0.1,0,590,200,130,,,,,,,,
2/5/24 12:12,,,2866,2683,0.936,0.1,0,447,179,79,,,,,,,,
2/5/24 12:29,,,2391,2208,0.923,0.04,0.022,100,29,4,,,,,,,,
2/5/24 12:45,,,2787,2749,0.986,0.05,0.022,410,100,9,,,,,,,,
2/5/24 13:02,,,2380,2305,0.969,0,0,37,1,0,,,,,,,,
2/5/24 13:19,,,2463,2270,0.922,0,0.132,21,3,0,,,,,,,,
2/5/24 13:36,,,3169,2973,0.938,0,0.11,533,128,127,,,,,,,,
2/5/24 13:53,,,2829,2558,0.904,0.02,0.022,680,132,48,,,,,,,,
2/5/24 14:10,,,2410,2133,0.885,0,0,548,147,0,,,,,,,,
2/5/24 14:27,,,2437,2041,0.838,0,0,477,100,0,,,,,,,,
2/5/24 14:44,,,3245,2895,0.892,0.07,0.044,660,182,126,,,,,,,,
2/5/24 15:00,OFF1,1,2685,2423,0.902,0,0,180,74,13,,,,,,,,
2/5/24 15:17,OFF1,2,2648,2465,0.931,0.11,0,43,4,0,,,,,,,,
2/5/24 15:34,OFF1,3,3756,3619,0.964,0.09,0.176,942,199,265,,,,,,,,
2/5/24 15:51,OFF1,4,3736,3611,0.966,0.05,0.066,953,329,255,,,,,,,,
