===============,,,===============,===============,===============,===============,===============,===============,===============,===============
DATE/TIME,LIGHTING,,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT
,,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS
===============,,,===============,===============,===============,===============,===============,===============,===============,===============
2/5/24 8:12,,,3791,2964,0.782,0,0,642,452,203
2/5/24 8:29,,,4110,3648,0.888,0,0,1615,1091,510
2/5/24 8:46,,,3898,3350,0.859,0,0,1363,901,564
2/5/24 9:03,,,3826,3195,0.835,0,0,1393,879,937
2/5/24 9:20,,,3757,3258,0.867,0,0,1254,756,618
2/5/24 9:36,,,3874,3337,0.861,0,0,1270,738,559
2/5/24 9:53,,,3779,3434,0.909,0.02,0,897,555,715
2/5/24 10:10,,,3714,3251,0.875,0,0,1290,769,367
2/5/24 10:27,,,3486,3058,0.877,0,0,1113,620,309
2/5/24 10:44,,,3475,3023,0.87,0.15,0,1110,647,214
2/5/24 11:01,,,3333,2956,0.887,0.08,0,725,429,130
2/5/24 11:18,,,3018,2653,0.879,0,0,1002,559,147
2/5/24 11:35,,,3624,3167,0.874,0,0,592,339,364
2/5/24 11:51,,,3254,3034,0.933,0,0.038,842,468,139
2/5/24 12:08,,,3437,2827,0.823,0.03,0.019,735,406,427
2/5/24 12:25,,,3142,2533,0.806,0.07,0,564,308,151
2/5/24 12:42,,,3132,2909,0.929,0,0.038,776,426,50
2/5/24 12:59,,,2690,2324,0.864,0,0,103,38,0
2/5/24 13:16,,,2585,2108,0.816,0,0,122,21,0
2/5/24 13:33,,,2542,1950,0.767,0,0,128,71,5
2/5/24 13:50,,,2996,2413,0.805,0.05,0.057,526,267,380
2/5/24 14:06,,,2944,2617,0.889,0.03,0,573,297,54
2/5/24 14:23,,,2726,2202,0.808,0,0,5,3,0
2/5/24 14:40,,,3381,2865,0.847,0.09,0.019,670,281,62
2/5/24 14:57,,,2725,2436,0.894,0,0,76,42,0
2/5/24 15:14,OFF1,1,3254,3122,0.959,0.13,0.019,348,155,209
2/5/24 15:31,OFF1,2,2920,2639,0.904,0,0,233,130,0
2/5/24 15:48,OFF1,3,4109,3713,0.904,0,0.076,914,517,247
2/5/24 16:05,OFF1,4,3607,3351,0.929,0,0.038,904,471,242
2/5/24 16:21,OFF1,5,3578,3464,0.968,0.16,0.152,714,330,169
2/5/24 16:38,OFF1,6,3422,3246,0.949,0.18,0.133,715,455,291
2/5/24 16:55,OFF1,7,3659,3555,0.972,0.13,0.038,784,461,346
2/5/24 17:12,OFF1,8,3649,3661,1.003,0.02,0,951,588,421
2/5/24 17:29,OFF1,9,3290,3297,1.002,0,0.076,610,296,103
2/5/24 17:46,OFF1,10,3560,3536,0.993,0.04,0.019,304,182,137
