===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/27/24 12:24,,2649,2274,0.858,0,0,771,447,371,,,,,,,,
2/27/24 12:41,,3466,2984,0.861,0,0.066,1447,721,826,,,,,,,,
2/27/24 12:58,,3365,2973,0.883,0.09,0.154,1075,443,427,,,,,,,,
2/27/24 13:14,,3331,2881,0.865,0.14,0.088,1117,516,461,,,,,,,,
2/27/24 13:31,,3162,2722,0.861,0.16,0.088,892,290,205,,,,,,,,
2/27/24 13:48,,3184,2880,0.905,0,0.088,970,359,418,,,,,,,,
2/27/24 14:05,,3031,2678,0.883,0,0,670,178,29,,,,,,,,
2/27/24 14:22,,3151,2841,0.902,0.07,0.066,843,196,339,,,,,,,,
2/27/24 14:39,,2781,2571,0.924,0,0,466,113,19,,,,,,,,
2/27/24 14:56,,3255,2982,0.916,0,0.154,700,214,336,,,,,,,,
2/27/24 15:13,ON1,2654,2296,0.865,0,0,336,63,0,,,,,,,,
2/27/24 15:29,ON1,2994,2710,0.905,0.13,0.022,254,61,29,,,,,,,,
2/27/24 15:46,ON1,3016,2768,0.918,0,0.066,696,245,288,,,,,,,,
2/27/24 16:03,ON1,2856,2657,0.93,0.02,0,487,121,25,,,,,,,,
2/27/24 16:20,ON1,2423,2042,0.843,0,0,50,2,0,,,,,,,,
2/27/24 16:37,ON1,2890,2496,0.864,0,0,232,47,0,,,,,,,,
2/27/24 16:54,ON1,2994,2675,0.894,0.09,0.11,534,141,73,,,,,,,,
2/27/24 17:11,ON1,2519,2164,0.859,0,0,24,2,0,,,,,,,,
2/27/24 17:28,ON1,2744,2299,0.838,0.04,0.022,140,54,25,,,,,,,,
2/27/24 17:44,ON1,2615,2249,0.86,0,0,311,115,81,,,,,,,,
2/27/24 18:01,ON1,2668,2133,0.8,0,0,18,3,0,,,,,,,,
2/27/24 18:18,ON1,2705,2138,0.791,0,0.022,17,5,0,,,,,,,,
2/27/24 18:35,ON1,2927,2627,0.898,0.09,0.022,519,144,69,,,,,,,,
2/27/24 18:52,ON1,2530,2187,0.865,0,0,219,51,2,,,,,,,,
2/27/24 19:09,ON1,2442,2087,0.855,0,0,6,0,0,,,,,,,,
2/27/24 19:26,ON1,2569,2098,0.817,0,0,61,9,0,,,,,,,,
2/27/24 19:43,ON1,2823,2323,0.823,0.1,0.11,320,103,64,,,,,,,,
2/27/24 19:59,ON1,2508,2200,0.877,0,0,53,13,1,,,,,,,,
2/27/24 20:16,ON1,2503,2078,0.83,0,0,73,5,0,,,,,,,,
